,AGE,PV1MATH,PV1READ,PV1SCIE,ESCS,HOMEPOS,SCHSUST,DISCLIM,TEACHSUP,BELONG
count,600169.0,600169.0,600169.0,600169.0,600169.0,597818.0,600169.0,600169.0,600169.0,600169.0
mean,15.79304027557373,441.20330810546875,438.6618957519531,450.8075256347656,-0.30501803755760193,-0.44286471605300903,-0.030795883387327194,0.03609487798693679,0.09632038325071335,-0.12978196934931044
std,0.29078108072280884,102.04676055908203,109.71684265136719,105.53062438964844,1.103764295578003,1.12813401222229,0.41234150528907776,0.9195566537297457,1.0439074039459229,0.7975429259465016
min,15.170000076293945,100.39700317382812,100.28600311279297,100.95500183105469,-3.1259446144104004,-3.3619112968444824,-0.7186999917030334,-2.1698000133037567,-2.5772736072540283,-2.038849964737892
25%,15.579999923706055,364.4830017089844,357.37799072265625,371.8039855957031,-1.048200011253357,-1.194100022315979,-0.20679999887943268,-0.5195000171661377,-0.5634999871253967,-0.6205999851226807
50%,15.75,433.37200927734375,435.3970031738281,444.8190002441406,-0.19370000064373016,-0.3783999979496002,-0.03519999980926514,-0.06909999996423721,-0.10019999742507935,-0.31279999017715454
75%,16.0,511.6520080566406,517.1829833984375,525.3319702148438,0.5803999900817871,0.3650999963283539,0.13439999520778656,0.5806999802589417,0.8210999965667725,0.3249000012874603
max,16.420000076293945,896.6129760742188,894.8800048828125,895.375,2.502805709838867,2.4676856994628906,0.6460999846458435,2.225800037384033,1.6485999822616577,1.7431499809026718
